country_iso3;nbUsers_instagram_petAchatinafulica;nbUsers_instagram_all
BRA;1;123100000
CHN;1;2814500
ECU;1;6141500
IRL;1;2431400
ISR;1;4193200
KGZ;1;2516400
LKA;1;1515400
NOR;1;2914000
PHL;1;19121800
PRT;1;5686100
SAU;1;13913100
TZA;1;2778500
ZAF;1;6116500
ARE;2;5377400
CAN;2;16992400
ESP;2;23726900
IDN;2;97378700
ROU;2;5288100
THA;2;19272400
USA;2;155900000
DNK;3;2812700
LTU;3;884800
AZE;4;3500700
BLR;4;3677500
LVA;4;665000
SVK;4;1562300
KAZ;5;11209700
AUT;6;3202700
HUN;6;2738600
SWE;6;6082900
BEL;7;4909500
BGR;7;1772600
CHE;8;3735800
IRN;8;24000000
KOR;9;21179200
EST;10;505900
TUR;11;52467200
CZE;15;3593800
FRA;16;26306200
NLD;21;8127000
FIN;25;2497000
POL;29;11162800
GBR;33;31285000
ITA;57;28440400
UKR;60;11946600
DEU;111;29272300
RUS;124;63924100
